ID,Name,Drug,SMILES
204,sulfinpyrazone,DB00382,Nc1c2c(nc3ccccc13)CCCC2
205,sulindac,DB00656,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12
206,tacrine,DB00907,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C
207,tamoxifen,DB00390,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
208,testosterone,DB00363,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
209,tetracycline,DB01009,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
210,dronabinol,DB01069,CC(CN1c2ccccc2Sc2ccccc21)N(C)C
211,theophylline,DB00257,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
212,thiothixene,DB01110,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
213,thyroxine,DB00726,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21
214,timolol,DB00182,CC(N)Cc1ccccc1
215,tolbutamide,DB00542,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O
216,tolmetin,DB00635,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
217,trazodone,DB01151,CNCCCN1c2ccccc2CCc2ccccc21
218,tretinoin,DB00264,COCCc1ccc(OCC(O)CNC(C)C)cc1
219,trifluoperazine,DB00966,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1
220,trimethoprim,DB00695,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
221,trimipramine,DB00313,CCCC(CCC)C(=O)O
222,ursodeoxycholic acid,DB01221,CNC1(c2ccccc2Cl)CCCCC1=O
223,valproic acid,DB04216,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
224,verapamil,DB01248,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C
225,vinblastine,DB00619,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
226,vincristine,DB01076,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O
227,vitamin b 12,DB00988,NCCc1ccc(O)c(O)c1
228,zidovudine,DB01167,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O
229,dinoprostone,DB00555,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
230,ofloxacin,DB01235,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
231,gemfibrozil,DB00875,OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
232,epirubicin,DB00334,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1
233,idarubicin,DB00643,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1
234,citalopram,DB04077,OCC(O)CO
235,mifepristone,DB00495,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O
236,felodipine,DB00834,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C
237,nisoldipine,DB00470,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21
238,famotidine,DB00252,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
239,alfentanil,DB00286,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)[O-])cc4CC[C@H]3[C@@H]1CCC2=O.[Na+]
240,bepridil,DB00863,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1
241,albendazole,DB00455,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
242,mefloquine,DB00914,N=C(N)NC(=N)NCCc1ccccc1
243,astemizole,DB00482,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
244,terfenadine,DB00549,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12
245,fluvoxamine,DB00178,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21
246,arachidonic acid,DB01092,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O
247,pravastatin,DB01393,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O
248,paclitaxel,DB01645,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12
249,ramipril,DB03128,CC(=O)OCC[N+](C)(C)C
250,clarithromycin,DB01204,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
251,doxazosin,DB00773,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
252,etodolac,DB00445,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1
253,toremifene,DB00945,CC(=O)Oc1ccccc1C(=O)O
254,loratadine,DB01100,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
255,cladribine,DB00861,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O
256,paroxetine,DB00605,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc([S+](C)[O-])cc1
257,itraconazole,DB00276,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
258,sumatriptan,DB00640,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
259,risperidone,DB01177,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O
260,riluzole,DB01097,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1
261,losartan,DB00514,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3
262,simvastatin,DB01115,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
263,genistein,DB00530,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
264,sirolimus,DB01623,CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1
265,salicylic acid,DB00328,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
266,sertraline,DB00672,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
267,mibefradil,DB00368,NC[C@H](O)c1ccc(O)c(O)c1
268,perindopril,DB01059,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
